emp_id,sector,job_title,soc_code,annual_salary_usd,ai_salary_premium_pct,demand_growth_yoy_pct,is_remote_eligible,is_llm_role,task_codifiability_score,education_mismatch_idx,resilience_score,displacement_occurred
10115,Education,"Health Specialties Teachers, Postsecondary",25-1071.00,180000,17.8,16.3,FALSE,FALSE,0.7366,0.6057,5.04,FALSE
10116,Office Support,Merchandise Displayers and Window Trimmers,27-1026.00,216000,9.9,38.1,TRUE,FALSE,0.6966,0.6416,8.61,TRUE
10117,Office Support,"Human Resources Assistants, Except Payroll and Timekeeping",43-4161.00,198000,8.8,15.1,TRUE,FALSE,0.8055,0.2788,3.9,TRUE
10118,Office Support,Loan Officers,13-2072.00,157000,3.6,9.1,TRUE,FALSE,0.7458,0.4645,2.18,TRUE
10119,Office Support,Tool and Die Makers,51-4111.00,221000,7.7,22.6,TRUE,FALSE,0.8283,0.7054,5.29,TRUE
10120,Legal,Legal Secretaries and Administrative Assistants,43-6012.00,100000,16.4,7.6,TRUE,FALSE,0.781,0.2389,3.16,TRUE
10121,Education,"Communications Teachers, Postsecondary",25-1122.00,196000,9.3,21.5,TRUE,FALSE,0.7623,0.3576,5.23,FALSE
10122,Management,Media Technical Directors/Managers,27-2012.05,229000,4.1,12.8,TRUE,FALSE,0.611,0.1828,2.97,FALSE
10123,Sales,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",41-3091.00,240000,4.8,20.1,FALSE,TRUE,0.1004,0.9226,4.5,FALSE
10124,Management,Advertising and Promotions Managers,11-2011.00,98000,5.5,18.1,TRUE,TRUE,0.7386,0.3795,4.17,FALSE
10125,Office Support,Wellhead Pumpers,53-7073.00,231000,12.9,24.1,TRUE,FALSE,0.7922,0,6.11,TRUE
10126,Office Support,Receptionists and Information Clerks,43-4171.00,178000,17.6,26.5,TRUE,FALSE,0.3925,0.2968,7.06,TRUE
10127,Office Support,Podiatrists,29-1081.00,315000,10,37.3,TRUE,TRUE,0.7194,0.3455,8.46,FALSE
10128,Life/Physical Science,Chemists,19-2031.00,374400,11.5,73.3,TRUE,FALSE,0.9654,0.809,15.81,TRUE
10129,Office Support,Air Crew Members,55-3011.00,138000,3.2,53.5,TRUE,FALSE,1,0.6181,11.02,TRUE
10130,Office Support,Aircraft Mechanics and Service Technicians,49-3011.00,152000,15.6,70.4,TRUE,FALSE,0.9782,0.2557,15.64,TRUE
10131,Arts & Design,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",39-1014.00,167000,11.4,28.6,TRUE,FALSE,0.4094,0.7041,6.86,TRUE
10132,Office Support,Tutors,25-3041.00,100000,13.3,33.4,FALSE,FALSE,0.565,0.6138,8.01,FALSE
10133,Office Support,New Accounts Clerks,43-4141.00,137000,9.3,9.4,TRUE,FALSE,0.8006,0.7502,2.81,TRUE
10134,Office Support,Photonics Technicians,17-3029.08,145000,3.6,28,TRUE,FALSE,0.8542,0.4105,5.96,TRUE
10135,Sales,Retail Salespersons,41-2031.00,285000,11.5,16.3,FALSE,FALSE,0.5642,0.7346,4.41,TRUE
10136,Food Service,Chefs and Head Cooks,35-1011.00,217000,10.2,6.2,FALSE,FALSE,0.8661,0.1667,2.26,FALSE
10137,Production,Timing Device Assemblers and Adjusters,51-2061.00,373000,11,22,FALSE,FALSE,0.5465,0.6126,5.5,FALSE
10138,Technology/Computer,Transit and Railroad Police,33-3052.00,145000,5.4,66.8,TRUE,TRUE,0.7385,0.5203,13.9,TRUE
10139,Management,Marketing Managers,11-2021.00,230000,10.6,42.8,TRUE,TRUE,0.6556,0.8291,9.62,FALSE
10140,Sales,Retail Loss Prevention Specialists,33-9099.02,95000,15.7,15.1,TRUE,FALSE,0.8329,0.7374,4.59,TRUE
10141,Technology/Computer,Sustainability Specialists,13-1199.05,155000,17.4,72,TRUE,FALSE,0.7034,0.1161,16.14,FALSE
10142,Office Support,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2095.00,213000,11.1,28.9,TRUE,FALSE,0.7791,0.5069,6.89,TRUE
10143,Life/Physical Science,Molecular and Cellular Biologists,19-1029.02,114000,15.4,16.3,FALSE,FALSE,0.7134,0.6381,4.8,FALSE
10144,Management,Training and Development Managers,11-3131.00,185000,16.5,12.5,FALSE,FALSE,0.788,0.4883,4.15,FALSE
10145,Production,Manufactured Building and Mobile Home Installers,49-9095.00,125000,14.3,23.3,FALSE,FALSE,1,0.3716,6.09,FALSE
10146,Office Support,Lighting Technicians,27-4015.00,177000,9.4,26.2,TRUE,FALSE,0.7291,0.5224,6.18,TRUE
10147,Office Support,Cytogenetic Technologists,29-2011.01,110000,15.6,18,TRUE,FALSE,0.6426,0.27,5.16,TRUE
10148,Production,Rail-Track Laying and Maintenance Equipment Operators,47-4061.00,130000,8.7,9.3,FALSE,FALSE,0.7769,0.1886,2.73,FALSE
10149,Education,"Anthropology and Archeology Teachers, Postsecondary",25-1061.00,140000,8.6,28.8,TRUE,FALSE,0.8912,0.4582,6.62,TRUE
10150,Office Support,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011.00,210000,5.4,31.6,TRUE,FALSE,0.8474,0.2202,6.86,TRUE
10151,Office Support,Hearing Aid Specialists,29-2092.00,180000,16,27.7,FALSE,FALSE,0.8787,0.4968,7.14,FALSE
10152,Production,"Rotary Drill Operators, Oil and Gas",47-5012.00,180000,17.8,16.3,FALSE,FALSE,0.8004,0.403,5.04,FALSE
10153,Healthcare Practitioners,Emergency Medical Technicians,29-2042.00,170000,13.6,61,FALSE,FALSE,0.2261,0.7419,13.56,FALSE
10154,Office Support,Transportation Inspectors,53-6051.00,189000,8.5,53.8,TRUE,FALSE,0.6986,0.1207,11.61,TRUE
10155,Office Support,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",47-3011.00,167000,10.1,12.4,TRUE,FALSE,0.7218,0.3625,3.49,TRUE
10156,Management,Biofuels/Biodiesel Technology and Product Development Managers,11-9041.01,295000,15.8,83.9,TRUE,TRUE,0.9052,0,18.36,FALSE
10157,Office Support,Home Appliance Repairers,49-9031.00,151000,16.5,72.2,TRUE,FALSE,0.7052,0.687,16.09,TRUE
10158,Healthcare Practitioners,Recreational Therapists,29-1125.00,110000,18,17.5,TRUE,FALSE,0.5901,0.4358,5.3,FALSE
10159,Office Support,"Patternmakers, Metal and Plastic",51-4062.00,228000,6.4,55.1,TRUE,TRUE,0.5464,0.3572,11.66,FALSE
10160,Life/Physical Science,Clinical Research Coordinators,11-9121.01,144000,4.5,16,FALSE,TRUE,0.7468,0.7978,3.65,FALSE
10161,Technology/Computer,Computer Systems Analysts,15-1211.00,300000,15.7,29.7,TRUE,FALSE,0.8086,0.2205,7.51,TRUE
10162,Office Support,Ophthalmic Laboratory Technicians,51-9083.00,159000,4.8,37.7,TRUE,FALSE,0.6329,0.9158,8.02,TRUE
10163,Office Support,Laundry and Dry-Cleaning Workers,51-6011.00,183000,9.4,25,TRUE,FALSE,0.6556,0.2098,5.94,TRUE
10164,Management,"Personal Service Managers, All Other",11-9179.00,145000,5.7,16.4,FALSE,FALSE,0.1551,0.6439,3.85,TRUE
10165,Healthcare Practitioners,Acute Care Nurses,29-1141.01,125000,11.8,16.9,FALSE,FALSE,0.8465,0.0117,4.56,FALSE
10166,Technology/Computer,First-Line Supervisors of Security Workers,33-1091.00,336000,7,24.2,TRUE,TRUE,0.8961,0.5861,5.54,TRUE
10167,Office Support,Fence Erectors,47-4031.00,317000,8,26.5,TRUE,FALSE,0.6407,0.6205,6.1,TRUE
10168,Management,Computer and Information Systems Managers,11-3021.00,325000,9.4,80.2,FALSE,FALSE,0.6912,0.8886,16.98,FALSE
10169,Office Support,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195.00,192000,9.1,12.6,TRUE,FALSE,0.589,0.3742,3.43,TRUE
10170,Production,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,53-1043.00,187000,10.2,14.3,FALSE,FALSE,0.8195,0.6325,3.88,FALSE
10171,Office Support,Aircraft Launch and Recovery Officers,55-1012.00,183000,9.7,15.4,TRUE,FALSE,0.8332,0.8723,4.05,TRUE
10172,Technology/Computer,"Interviewers, Except Eligibility and Loan",43-4111.00,261000,10.4,50.4,TRUE,TRUE,0.6329,0.7076,11.12,FALSE
10173,Management,Social and Community Service Managers,11-9151.00,150000,10.9,19.6,TRUE,TRUE,0.6673,0.2574,5.01,FALSE
10174,Office Support,Aircraft Service Attendants,53-6032.00,170000,13.6,61,FALSE,FALSE,0.6403,0.3973,13.56,FALSE
10175,Management,General and Operations Managers,11-1021.00,237000,15.5,34.6,TRUE,FALSE,0.8153,0.7556,8.47,TRUE
10176,Office Support,Fish and Game Wardens,33-3031.00,278000,5.7,41.7,TRUE,TRUE,0.925,0.959,8.91,TRUE
10177,Healthcare Practitioners,"Healthcare Support Workers, All Other",31-9099.00,157000,12.3,80.2,FALSE,FALSE,0.0197,0.5749,17.27,FALSE
10178,Sales,Driver/Sales Workers,53-3031.00,100000,16.4,7.6,TRUE,FALSE,0.4534,0.4538,3.16,TRUE
10179,Office Support,Web Developers,15-1254.00,100000,16.4,7.6,TRUE,FALSE,0.719,0.5187,3.16,TRUE
10180,Protective Service,Fire Inspectors and Investigators,33-2021.00,360000,11.1,12.7,FALSE,FALSE,0.7091,0.5228,3.65,TRUE
10181,Technology/Computer,"Computer, Automated Teller, and Office Machine Repairers",49-2011.00,384000,16.4,15.5,TRUE,FALSE,0.5364,0.5027,4.74,TRUE
10182,Office Support,Histology Technicians,29-2012.01,149000,11.6,25.1,FALSE,FALSE,0.6107,1,6.18,TRUE
10183,Production,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023.00,163000,17.9,17,FALSE,FALSE,0.635,0,5.19,FALSE
10184,Office Support,Order Clerks,43-4151.00,189000,3.7,6.8,TRUE,TRUE,0.6556,0.7926,1.73,FALSE
10185,Technology/Computer,Writers and Authors,27-3043.00,197000,15.5,59.5,TRUE,TRUE,0.4877,0.6165,13.45,FALSE
10186,Education,"Philosophy and Religion Teachers, Postsecondary",25-1126.00,209000,17.3,15.7,FALSE,FALSE,0.5966,0.4934,4.87,FALSE
10187,Technology/Computer,Locksmiths and Safe Repairers,49-9094.00,172000,11.7,18.7,TRUE,FALSE,0.7806,0.1202,4.91,FALSE
10188,Technology/Computer,Information Security Engineers,15-1299.05,130000,16.6,25.6,TRUE,FALSE,0.6946,0.4157,6.78,TRUE
10189,Healthcare Practitioners,"Health Technologists and Technicians, All Other",29-2099.00,212000,17.2,57.1,FALSE,FALSE,0.148,0.1908,13.14,FALSE
10190,Technology/Computer,"Healthcare Practitioners and Technical Workers, All Other",29-9099.00,214000,13.7,83.4,TRUE,TRUE,0.2338,0.3068,18.05,FALSE
10191,Management,Art Directors,27-1011.00,145000,6.4,39.4,FALSE,FALSE,0.7372,0.6644,8.52,FALSE
10192,Office Support,Nursing Assistants,31-1131.00,144000,4.5,16,TRUE,TRUE,0.6379,0.1414,3.65,TRUE
10193,Technology/Computer,Network and Computer Systems Administrators,15-1244.00,251000,4.4,62.5,TRUE,TRUE,0.8863,0.2121,12.94,FALSE
10194,Life/Physical Science,"Physical Scientists, All Other",19-2099.00,135000,11.5,42.7,FALSE,FALSE,0.076,0.8108,9.69,FALSE
10195,Technology/Computer,"Arbitrators, Mediators, and Conciliators",23-1022.00,157000,3.6,9.1,TRUE,FALSE,0.6616,1,2.18,TRUE
10196,Office Support,Plasterers and Stucco Masons,47-2161.00,95000,11.5,28.4,TRUE,FALSE,0.7852,0.1746,6.83,TRUE
10197,Technology/Computer,Data Entry Keyers,43-9021.00,262000,8.8,23.6,TRUE,FALSE,0.7537,0.3854,5.6,TRUE
10198,Education,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062.00,285000,11.5,16.3,FALSE,FALSE,0.55,0.206,4.41,FALSE
10199,Office Support,"Glass Blowers, Molders, Benders, and Finishers",51-9195.04,324000,4.4,19.2,TRUE,FALSE,0.5574,0.9629,4.28,TRUE
