emp_id,sector,soc_code,theoretical_exposure_pct,augmentation_potential_pct,realized_coverage_idx,is_remote_eligible,skill_transferability_score,org_ai_maturity_stage,task_codifiability_score,education_mismatch_idx,displacement_occurred
10035,Office Support,29-2011.02,81.68,36.25,0.7206,True,0.5816,1,0.5983,0.5505,True
10036,Office Support,43-9061.00,79.51,21.7,0.7842,True,0.7803,1,0.569,0.461,True
10037,Management,11-2032.00,7.42,24.78,0.101,True,0.5379,1,0.0,0.1854,True
10038,Office Support,47-2051.00,84.08,18.17,0.6923,True,1.0,2,0.7565,0.4962,False
10039,Office Support,47-2121.00,76.97,15.23,0.7429,True,0.7323,1,0.8104,0.3891,False
10040,Construction,47-3012.00,18.16,0.0,0.1434,False,0.4227,1,0.4931,0.5073,False
10041,Technology/Computer,29-9099.00,23.72,49.48,0.4383,True,0.0727,3,0.3666,0.4616,True
10042,Office Support,47-5099.00,77.66,22.07,0.8898,False,0.462,4,0.81,0.8521,True
10043,Office Support,49-3021.00,58.17,27.63,0.4988,True,0.3755,3,0.7404,0.6817,True
10044,Office Support,51-3011.00,64.13,20.44,0.4613,True,0.2251,1,0.5074,0.052,True
10045,Business & Financial,27-3023.00,59.28,40.77,0.5735,True,0.1269,3,0.5753,0.8322,False
10046,Office Support,49-2092.00,62.77,14.85,0.5875,True,0.1613,2,0.6628,0.4657,True
10047,Education,25-1112.00,7.16,23.95,0.0921,False,0.5904,1,0.6602,0.6056,False
10048,Sales,41-4011.00,6.4,30.06,0.0993,True,1.0,2,0.5101,0.6911,False
10049,Office Support,39-3093.00,75.62,14.59,0.7123,True,0.1809,2,0.2523,1.0,True
10050,Production,51-8013.00,0.0,16.65,0.0,False,0.3373,2,0.6328,0.7086,False
10051,Life/Physical Science,19-2099.01,1.2,20.56,0.068,True,0.1932,2,0.7345,0.5885,False
10052,Office Support,49-9051.00,57.14,12.42,0.4312,False,0.2098,1,0.7086,0.4818,True
10053,Office Support,29-2035.00,76.36,0.0,0.6987,True,0.6957,3,0.8087,0.7288,True
10054,Office Support,13-1131.00,85.44,25.2,0.8529,True,0.6496,4,0.8621,0.0357,True
10055,Protective Service,33-3051.00,0.0,8.25,0.0,False,0.6281,3,0.9366,0.3476,False
10056,Construction,47-2111.00,22.98,7.87,0.2668,False,0.0869,1,0.6667,0.8264,False
10057,Office Support,43-4021.00,69.65,14.47,0.6189,True,0.501,1,0.5076,0.3992,True
10058,Office Support,29-1021.00,88.21,9.68,0.9227,True,0.4588,5,0.8084,0.0059,True
10059,Technology/Computer,13-1041.03,27.17,52.88,0.2996,True,0.5289,3,0.7109,0.8508,False
10060,Technology/Computer,13-1141.00,6.61,67.38,0.1168,True,0.6795,3,0.6253,0.6209,False
10061,Production,49-9095.00,20.23,8.67,0.1605,False,0.9887,2,0.9636,0.6799,False
10062,Office Support,53-6011.00,74.44,33.34,0.786,True,0.8159,3,0.5895,0.5362,False
10063,Life/Physical Science,19-1099.00,11.52,30.19,0.1534,False,0.6381,2,0.2048,0.3634,False
10064,Architecture & Engineering,17-2199.07,0.0,33.4,0.0,False,0.7539,2,0.7873,0.6587,False
10065,Construction,47-2141.00,2.13,6.2,0.0,False,0.0463,1,0.7374,0.6484,False
10066,Management,11-3111.00,30.74,38.71,0.2388,False,0.1605,1,0.5674,0.7924,True
10067,Production,51-6042.00,13.5,14.45,0.127,False,0.1358,1,0.5736,0.6089,False
10068,Office Support,29-1214.00,82.43,14.31,0.9188,True,0.2502,1,0.8961,0.6987,True
10069,Sales,41-3021.00,9.97,34.07,0.0442,True,0.8232,1,0.8644,0.4209,False
10070,Technology/Computer,43-2011.00,19.57,50.3,0.156,True,0.7268,1,0.4545,1.0,False
10071,Office Support,33-3041.00,56.95,15.38,0.6718,True,0.259,1,0.7608,0.312,True
10072,Office Support,51-5113.00,87.66,24.75,0.7813,True,0.6304,1,0.6437,0.4647,True
10073,Office Support,13-2061.00,61.85,25.76,0.6042,False,0.0907,2,0.8932,0.6438,False
10074,Technology/Computer,13-1041.03,32.03,48.69,0.3585,True,0.3446,2,0.8831,0.3944,False
10075,Education,25-2058.00,19.43,19.79,0.3924,True,0.6737,5,0.8307,0.774,True
10076,Office Support,43-3071.00,78.83,35.0,0.6646,False,0.344,3,0.7964,0.5583,False
10077,Management,11-9081.00,16.03,18.16,0.0369,True,0.0125,3,0.6404,0.0688,False
10078,Technology/Computer,49-9094.00,27.6,46.28,0.2809,True,0.2783,3,0.9032,0.612,False
10079,Office Support,41-2021.00,69.55,22.97,0.8019,True,0.7076,3,0.7831,0.4048,True
10080,Management,11-9199.09,13.33,18.17,0.2478,False,0.5929,5,0.9396,0.0,False
10081,Office Support,53-6031.00,71.97,26.66,0.717,True,0.2971,1,0.5389,0.6366,True
10082,Office Support,17-3012.00,70.75,29.04,0.7112,True,0.6157,1,0.7703,1.0,True
10083,Office Support,27-2042.00,80.32,17.83,0.9272,False,0.8374,1,0.6537,0.4374,True
10084,Office Support,49-9071.00,80.77,35.58,0.9142,True,0.2344,3,0.8075,0.5419,True
10085,Architecture & Engineering,17-2131.00,5.09,27.34,0.0,False,0.4029,1,0.93,0.3782,False
10086,Production,51-9011.00,28.24,15.02,0.2864,False,0.4218,1,0.6818,0.5484,False
10087,Healthcare Practitioners,29-1249.00,8.59,13.58,0.1519,False,0.3925,2,0.0,1.0,False
10088,Healthcare Practitioners,31-2021.00,21.35,14.18,0.0,False,0.1325,2,0.8293,0.7408,False
10089,Management,11-9111.00,5.79,6.64,0.0,False,0.6332,1,1.0,0.2087,False
10090,Production,51-9111.00,19.4,21.89,0.0562,True,0.1579,3,0.622,0.7108,False
10091,Office Support,53-5011.00,74.32,17.49,0.7009,False,0.0408,4,0.9885,0.3141,False
10092,Healthcare Practitioners,45-2092.00,18.53,27.05,0.0605,False,0.4165,3,0.7556,0.1332,False
10093,Office Support,47-5071.00,72.93,20.55,0.7283,False,0.4114,3,0.8301,1.0,True
10094,Office Support,17-3029.08,66.87,17.12,0.5917,True,1.0,2,0.8883,0.3926,False
10095,Office Support,13-2023.00,61.93,26.78,0.6046,False,0.2946,3,0.6884,0.9203,False
10096,Architecture & Engineering,17-2011.00,7.49,13.27,0.0267,True,0.7446,1,0.8582,0.5049,False
10097,Technology/Computer,37-1011.00,28.95,65.25,0.1973,True,0.5334,3,0.8233,0.6938,True
10098,Office Support,43-5052.00,82.96,9.1,0.9333,False,0.5193,2,0.5054,0.823,True
10099,Office Support,49-9045.00,66.83,19.4,0.647,True,0.6219,4,0.6054,0.8282,True
10100,Office Support,13-1074.00,65.42,18.17,0.6991,True,0.6672,2,0.5879,0.164,True
10101,Arts & Design,27-1014.00,26.67,48.33,0.199,False,0.2378,2,0.5335,0.1794,False
10102,Technology/Computer,51-6063.00,14.32,45.74,0.1583,True,0.5873,3,0.7873,0.2544,True
10103,Education,25-2056.00,27.71,14.67,0.2663,False,0.0,3,0.8504,0.5147,False
10104,Production,53-7051.00,4.67,10.58,0.0615,False,0.8204,3,0.6074,0.9001,False
10105,Education,25-1081.00,20.88,42.34,0.1706,False,0.8726,2,0.7758,0.4756,False
10106,Office Support,19-2041.02,74.43,18.95,0.7357,True,0.3635,3,0.8238,0.351,True
10107,Office Support,15-2041.00,81.04,30.96,0.9814,True,0.3841,1,0.7255,0.8287,True
10108,Architecture & Engineering,53-4013.00,18.03,27.28,0.3883,False,0.6915,1,0.7421,0.3798,False
10109,Healthcare Practitioners,29-9021.00,17.13,20.01,0.1289,False,0.7302,2,0.2067,0.6546,False
10110,Office Support,27-4015.00,78.1,14.98,0.8471,False,0.6413,2,0.7634,0.2988,False
10111,Office Support,53-2031.00,87.33,0.0,0.7466,True,0.3108,2,0.7193,0.2885,True
10112,Office Support,39-5094.00,70.66,17.99,0.645,True,0.3113,2,0.7726,0.5192,True
10113,Technology/Computer,15-1299.06,12.09,51.17,0.2091,True,0.7416,2,0.2435,0.5216,False
10114,Sales,43-5011.00,29.36,17.06,0.2564,False,0.5572,3,0.7114,0.7849,False
10115,Office Support,19-4031.00,91.22,13.12,0.9065,False,0.5637,3,0.823,0.2935,True
10116,Life/Physical Science,19-2042.00,9.02,28.06,0.0,False,0.4969,2,0.6492,0.6518,False
10117,Office Support,27-2011.00,77.85,12.84,0.7628,True,0.4837,2,0.5943,0.3107,True
10118,Management,11-9199.01,7.99,18.08,0.0,True,0.3292,2,1.0,0.7048,False
10119,Production,51-9032.00,4.37,23.86,0.0567,False,0.4496,3,0.7016,0.3176,False
10120,Healthcare Practitioners,29-1124.00,0.0,9.41,0.0419,True,0.8453,2,0.8828,0.5372,False
10121,Office Support,27-2031.00,79.82,15.55,0.903,True,0.6448,3,0.4963,0.4946,False
10122,Management,11-9171.00,13.56,24.01,0.2591,False,0.628,1,0.8481,0.5071,False
10123,Technology/Computer,29-1229.02,23.9,46.38,0.2599,True,1.0,4,0.7849,0.6005,False
10124,Production,51-2092.00,30.1,13.55,0.3557,False,0.2569,1,0.4867,0.8523,False
10125,Office Support,43-4161.00,84.82,28.54,0.9705,True,0.9424,1,0.9273,0.3594,True
10126,Life/Physical Science,19-1023.00,29.47,36.95,0.2012,True,0.1032,5,0.9069,0.5996,False
10127,Life/Physical Science,19-1011.00,32.19,40.54,0.3179,True,0.3037,1,0.8777,0.6455,False
10128,Office Support,43-4021.00,79.84,27.31,0.7688,False,0.6886,3,0.7198,0.6873,False
10129,Technology/Computer,15-1299.00,32.5,43.05,0.3838,True,0.478,2,0.3203,0.5615,False
10130,Education,25-1199.00,10.53,23.89,0.0,False,0.3903,1,0.0747,0.6948,False
10131,Food Service,35-3041.00,5.42,0.0,0.0,False,0.5554,1,0.5639,0.3715,False
10132,Production,47-2071.00,23.07,21.47,0.3095,False,0.1721,2,0.616,0.9741,False
10133,Office Support,13-1075.00,62.62,31.28,0.711,False,1.0,1,0.8579,0.3781,False
10134,Healthcare Practitioners,29-2072.00,21.65,23.53,0.3179,True,0.5045,1,0.0,0.5082,True
10135,Office Support,53-3054.00,77.27,33.04,0.8559,True,0.4019,3,0.7112,0.0,True
10136,Office Support,29-1023.00,67.42,21.87,0.8621,True,0.4601,3,0.8381,0.1904,False
10137,Life/Physical Science,19-3022.00,1.79,34.43,0.019,False,0.2734,3,0.6504,0.0246,False
10138,Office Support,49-3053.00,70.56,18.69,0.6982,True,0.5363,3,0.4854,0.5225,True
10139,Office Support,43-4131.00,85.63,9.06,0.8192,False,0.8717,3,0.7404,0.7207,False
10140,Office Support,39-3091.00,64.8,24.31,0.7633,True,0.257,2,0.4944,0.5639,False
10141,Office Support,19-1029.03,60.72,9.96,0.5252,True,0.2933,2,0.7568,0.2409,True
10142,Office Support,27-2031.00,74.89,21.65,0.555,True,0.5861,1,0.455,0.8898,True
10143,Healthcare Practitioners,21-1022.00,20.71,15.7,0.503,False,0.5592,3,0.705,0.3919,False
10144,Construction,47-3013.00,22.79,24.35,0.1112,False,0.6323,2,0.7936,0.0,False
10145,Office Support,21-1011.00,63.1,16.07,0.6869,True,0.5965,1,0.7169,0.1991,False
10146,Office Support,47-4071.00,82.85,18.79,0.5473,True,0.8361,3,0.6228,0.4913,False
10147,Office Support,27-4012.00,80.02,25.39,0.7396,True,0.6465,2,0.5686,0.4596,True
10148,Business & Financial,13-2099.04,34.93,24.91,0.2952,False,0.7805,2,0.6,0.7508,False
10149,Office Support,49-9069.00,89.13,29.33,0.988,True,0.7188,1,0.8736,0.7236,True
10150,Office Support,31-2011.00,84.57,25.33,0.8063,True,1.0,3,0.7884,0.8471,True
10151,Technology/Computer,53-3052.00,8.67,63.66,0.2338,True,0.8567,5,0.5941,0.9286,False
10152,Office Support,53-5011.00,82.54,19.51,0.6826,True,0.812,3,0.7048,0.9413,True
10153,Healthcare Practitioners,29-2011.00,23.83,17.84,0.3018,False,0.7044,1,0.9874,0.4238,False
10154,Sales,53-3031.00,32.5,39.94,0.469,False,0.8004,1,0.5218,0.0,False
10155,Protective Service,33-1012.00,6.24,13.64,0.0152,False,0.359,5,0.9088,0.578,False
10156,Food Service,35-2014.00,12.16,0.0,0.0442,False,0.0312,5,0.4511,0.6436,False
10157,Sales,13-1023.00,28.39,32.14,0.257,False,0.8834,1,1.0,0.1176,False
10158,Office Support,21-2099.00,83.67,38.5,1.0,True,0.4037,3,0.9116,0.3483,True
10159,Office Support,53-7062.00,82.16,13.2,0.7755,True,0.8296,4,0.6634,0.7078,True
10160,Life/Physical Science,19-1029.00,9.5,32.28,0.1729,True,0.5703,2,0.2353,0.2074,False
10161,Office Support,49-9061.00,64.15,17.48,0.6309,False,0.5513,2,0.5322,0.2692,False
10162,Architecture & Engineering,53-2011.00,10.42,21.7,0.2852,False,0.6765,2,0.7857,0.0,False
10163,Healthcare Practitioners,21-1023.00,28.71,28.45,0.2612,False,0.2278,2,0.756,0.0706,False
10164,Office Support,19-4012.01,85.39,21.15,0.9519,True,0.5605,4,0.8312,0.155,True
10165,Arts & Design,27-2099.00,19.89,24.26,0.1875,True,0.3202,3,0.3335,0.5976,False
10166,Office Support,49-2021.00,61.75,30.2,0.5234,True,0.6759,2,0.9289,0.2854,True
10167,Office Support,29-1229.05,85.93,16.33,0.8189,False,0.4723,2,0.7392,0.0,False
10168,Office Support,33-3011.00,59.43,15.62,0.7593,True,0.2119,2,0.8072,0.4842,True
10169,Architecture & Engineering,15-1241.01,14.71,39.91,0.0,True,0.1599,2,0.7988,0.9007,False
10170,Management,11-9199.08,0.0,26.1,0.1432,False,0.573,1,0.6708,0.737,False
10171,Healthcare Practitioners,31-9011.00,23.71,27.23,0.2475,False,0.4883,2,0.6265,0.713,False
10172,Office Support,51-9198.00,52.02,24.92,0.5125,True,0.6396,3,0.5788,0.2533,True
10173,Office Support,39-4021.00,80.12,26.75,0.9388,True,0.6342,1,0.6744,0.3724,True
10174,Sales,41-9091.00,16.18,34.56,0.2597,True,0.5612,4,0.6438,0.6582,False
10175,Office Support,49-3042.00,61.72,25.18,0.5189,True,0.2531,3,0.6016,0.2147,False
10176,Technology/Computer,13-2071.00,35.13,52.64,0.4679,True,0.1768,3,0.5102,0.2373,True
10177,Office Support,27-3031.00,75.59,16.27,0.7514,True,0.7882,3,0.9482,0.5706,True
10178,Office Support,27-3011.00,60.35,12.33,0.6532,True,0.8583,3,0.4889,0.8792,True
10179,Technology/Computer,15-1211.00,28.08,65.6,0.2736,True,0.5645,4,0.614,0.2265,False
10180,Office Support,29-1216.00,76.83,11.22,0.7096,True,0.4105,1,0.7547,0.4856,True
10181,Management,11-9021.00,30.71,23.81,0.3621,True,0.592,3,1.0,0.3348,True
10182,Office Support,47-2082.00,85.55,26.31,1.0,True,0.4555,1,0.568,0.3094,True
10183,Office Support,47-2221.00,83.82,21.15,0.6898,True,0.868,3,0.5649,0.4395,False
10184,Office Support,33-3011.00,60.69,9.92,0.7598,True,1.0,2,0.9921,0.768,False
10185,Office Support,29-1229.06,71.65,7.85,0.7567,True,0.3312,1,0.9728,0.3551,True
10186,Architecture & Engineering,17-2199.07,0.33,26.17,0.0792,False,0.3559,1,0.7442,0.4459,False
10187,Office Support,19-4043.00,67.91,2.92,0.772,True,0.1142,1,0.7994,0.0,True
10188,Office Support,49-3043.00,75.5,21.34,0.7952,True,0.4141,3,0.7272,0.7129,True
10189,Office Support,19-4043.00,70.73,23.78,0.7857,True,0.6316,1,0.7654,0.7026,True
10190,Office Support,15-1299.02,75.92,20.91,0.8983,True,0.8493,1,0.6915,0.2761,True
10191,Architecture & Engineering,17-2151.00,15.95,19.88,0.2273,False,0.0,3,0.8218,0.2399,False
10192,Healthcare Practitioners,29-2032.00,7.87,29.08,0.0944,True,0.4773,3,0.6605,0.6899,False
10193,Management,43-6011.00,25.23,27.22,0.3952,False,0.461,2,0.6409,0.7388,False
10194,Sales,41-1011.00,13.22,29.07,0.1993,True,0.405,3,0.6291,0.8882,True
10195,Office Support,51-7099.00,72.73,18.83,0.7561,True,0.4305,2,0.7829,0.4156,True
10196,Office Support,15-2041.01,83.52,16.11,1.0,True,0.0,4,0.7652,0.2196,True
10197,Office Support,29-1217.00,83.82,16.37,1.0,True,0.7835,5,0.8072,0.1001,True
10198,Education,25-1194.00,11.16,20.76,0.0442,False,0.7986,3,0.7508,0.6015,False
10199,Office Support,29-1229.03,56.67,5.7,0.6559,True,0.3717,5,1.0,0.6197,True
10200,Architecture & Engineering,17-3021.00,33.2,40.4,0.3992,False,0.2668,2,0.7235,0.3638,False
10201,Management,27-2012.00,20.97,25.58,0.1427,False,0.4138,2,0.7812,0.6457,False
10202,Technology/Computer,29-1229.02,37.96,52.08,0.4917,True,0.7822,2,1.0,0.7684,True
10203,Arts & Design,35-9011.00,17.36,33.85,0.159,True,0.5647,1,0.7458,0.0916,False
10204,Office Support,51-9071.00,60.48,14.52,0.4667,True,0.7729,2,0.9281,0.3341,False
10205,Office Support,47-2044.00,77.92,11.55,0.6639,True,0.3826,1,0.6212,0.1957,True
10206,Production,51-9193.00,24.34,6.8,0.1226,False,0.5168,1,0.7661,0.5444,False
10207,Office Support,25-4013.00,68.14,23.03,0.6936,True,0.3097,2,0.6179,0.5505,False
10208,Office Support,29-1181.00,87.61,33.18,0.8738,True,0.6697,2,1.0,0.849,True
10209,Healthcare Practitioners,29-2012.00,6.14,17.66,0.0676,False,0.5613,2,0.6327,1.0,False
10210,Office Support,29-1299.02,89.6,9.08,0.9025,True,0.5114,1,0.7694,0.8373,True
10211,Office Support,51-9061.00,73.47,18.8,0.8678,False,0.6457,5,0.6706,0.5173,True
10212,Office Support,29-1217.00,84.78,26.46,0.9566,True,0.3463,3,0.963,0.9045,True
10213,Architecture & Engineering,17-2112.02,0.44,24.04,0.0583,True,0.595,4,0.7978,0.6772,False
10214,Life/Physical Science,19-1099.00,18.14,37.81,0.0808,False,0.6849,2,0.2644,1.0,False
10215,Office Support,19-3093.00,74.42,19.4,0.7442,True,0.38,3,0.7011,0.547,False
10216,Production,45-2091.00,0.0,0.02,0.0,False,1.0,3,0.6107,0.3804,False
10217,Office Support,29-1181.00,85.95,17.27,0.8156,True,0.4204,3,0.909,0.4701,True
10218,Arts & Design,27-1029.00,31.66,36.67,0.314,True,0.8026,4,0.3033,0.8862,False
10219,Education,25-1022.00,19.59,18.33,0.0945,False,0.4728,1,0.6416,0.3982,False
10220,Office Support,47-2142.00,66.46,25.27,0.7221,False,0.5729,3,0.5035,0.8567,False
10221,Healthcare Practitioners,29-2032.00,0.0,19.85,0.0,False,0.8691,1,0.6471,0.3539,False
10222,Office Support,17-3013.00,79.1,26.6,0.8809,True,0.3535,1,0.7495,0.4816,True
10223,Office Support,13-1161.01,62.54,24.08,0.5507,True,0.3302,3,0.8904,0.6623,True
10224,Healthcare Practitioners,31-1121.00,3.95,19.77,0.0699,True,0.6309,3,0.6468,0.6848,False
10225,Production,51-4072.00,30.25,17.16,0.1991,False,0.5761,1,0.4526,0.3631,False
10226,Healthcare Practitioners,53-3011.00,3.75,7.84,0.1648,False,0.6717,1,0.8156,0.7919,False
10227,Technology/Computer,41-3031.00,18.33,56.91,0.209,False,0.429,1,0.5831,0.7006,False
10228,Technology/Computer,15-1211.00,23.43,60.96,0.1611,True,0.5403,1,0.6909,0.3616,False
10229,Arts & Design,27-1021.00,23.79,45.27,0.2809,True,0.4073,2,0.7913,0.574,True
10230,Office Support,13-1032.00,66.12,29.23,0.7242,False,0.5616,4,0.6609,0.1485,False
10231,Office Support,23-1021.00,81.72,21.6,0.7643,True,0.5827,3,0.6648,0.2276,True
10232,Healthcare Practitioners,19-5011.00,0.3,0.0,0.0516,False,0.4047,2,0.9885,0.4535,False
10233,Arts & Design,27-2099.00,34.54,28.21,0.4737,True,0.0268,1,0.2776,0.2527,False
10234,Production,51-8031.00,14.4,12.79,0.2314,False,0.2139,2,0.7858,0.7836,False
10235,Construction,47-4099.00,25.35,0.0,0.21,False,0.4469,3,0.1617,0.5738,False
10236,Office Support,29-1127.00,73.23,22.65,0.7266,True,0.5473,2,0.5806,0.6329,True
10237,Office Support,21-2011.00,79.91,9.1,0.7929,True,0.3441,3,0.7995,0.3139,True
10238,Production,51-2011.00,10.5,21.74,0.0743,False,0.6104,4,0.5953,0.5228,True
10239,Technology/Computer,27-3043.00,42.11,53.85,0.4732,False,0.6665,3,0.6028,0.0201,False
10240,Office Support,27-2023.00,80.36,33.81,0.8523,True,0.4587,3,0.7494,0.5549,True
10241,Office Support,47-2231.00,74.16,15.18,0.7563,False,0.4855,2,0.8477,0.3792,False
10242,Office Support,29-1181.00,65.63,25.19,0.74,True,0.5821,3,1.0,0.0,False
10243,Healthcare Practitioners,31-9092.00,10.97,24.15,0.0095,True,0.8707,2,0.8983,0.342,False
10244,Office Support,15-1299.03,72.75,18.77,0.6973,True,0.286,2,0.7083,0.262,True
10245,Office Support,51-4199.00,70.9,15.73,0.6631,False,0.1343,2,0.6193,0.6701,True
10246,Architecture & Engineering,17-2111.02,21.28,34.66,0.1687,True,0.0,3,0.75,1.0,False
10247,Office Support,43-5021.00,70.53,17.74,0.6825,True,0.3345,5,0.7192,0.3624,True
10248,Sales,41-1012.00,19.89,35.89,0.2027,False,0.6807,2,0.7817,0.7944,False
10249,Office Support,13-2052.00,64.76,24.05,0.5697,True,0.5462,3,0.6528,0.1249,True
10250,Architecture & Engineering,17-3027.00,13.39,22.85,0.0511,False,0.7744,2,0.6734,0.7436,False
10251,Office Support,49-3051.00,59.39,26.35,0.4689,True,0.4415,2,0.7947,1.0,True
10252,Office Support,13-1131.00,87.29,11.63,0.844,True,0.6232,1,0.8747,0.3198,True
10253,Office Support,13-2099.00,68.22,16.01,0.7684,True,0.263,1,0.9055,0.4246,True
10254,Healthcare Practitioners,29-1243.00,15.6,18.75,0.2042,False,0.5857,1,0.3041,0.609,False
10255,Production,51-8093.00,0.53,11.01,0.0,False,1.0,3,0.4603,0.6251,False
10256,Production,47-2072.00,21.07,4.33,0.0223,False,0.5495,3,0.7553,0.6162,False
10257,Office Support,47-4071.00,75.76,12.6,0.6343,True,0.2098,5,0.6975,0.4513,True
10258,Office Support,21-1012.00,88.41,26.8,0.9148,True,0.8953,4,0.8541,0.147,True
10259,Life/Physical Science,19-1029.04,16.53,43.55,0.0237,True,0.4419,1,0.9136,0.2557,False
10260,Office Support,45-3031.00,80.94,20.78,0.8276,True,0.146,3,0.6931,0.2865,True
10261,Technology/Computer,17-2072.00,9.4,50.14,0.2504,True,0.234,3,0.7383,0.1227,False
10262,Technology/Computer,49-9021.00,35.39,46.91,0.3962,True,0.3388,3,0.5575,0.2136,True
10263,Arts & Design,55-3014.00,30.35,41.81,0.0539,False,0.2376,2,0.3853,0.4996,False
10264,Food Service,35-3041.00,13.74,0.0,0.0,False,0.5658,3,0.7376,0.8102,False
10265,Education,25-1051.00,21.04,31.46,0.2962,False,0.562,1,0.8499,0.2697,False
10266,Office Support,51-6093.00,71.64,35.26,0.8934,False,0.7211,3,0.8057,0.8193,False
10267,Office Support,47-4031.00,61.86,18.31,0.5047,False,0.2719,5,0.6164,0.6255,True
10268,Office Support,19-3011.01,83.96,25.15,0.8331,True,0.2718,3,0.6282,0.904,True
10269,Healthcare Practitioners,19-4042.00,8.69,16.67,0.0,False,0.0,2,0.9525,0.7519,False
10270,Management,11-9161.00,27.98,27.73,0.3934,True,0.7494,3,0.7774,0.3611,False
10271,Education,25-9099.00,17.95,44.77,0.1189,False,0.1345,1,0.2166,0.7959,False
10272,Office Support,47-2081.00,95.35,13.54,1.0,False,0.4637,1,0.512,0.6178,False
10273,Office Support,39-6011.00,88.71,26.28,0.7348,True,0.2817,2,0.8699,0.4897,True
10274,Life/Physical Science,19-1099.00,32.33,32.91,0.3803,True,0.4793,1,0.3491,0.6248,False
10275,Food Service,35-2021.00,1.22,0.56,0.0,False,0.5679,1,0.6461,0.4654,False
10276,Office Support,39-9011.01,71.96,14.84,0.7864,False,0.5826,3,0.6031,0.7058,False
10277,Architecture & Engineering,17-2051.02,7.17,30.42,0.1124,True,0.5101,3,0.7957,0.4325,False
10278,Office Support,51-9195.00,63.38,13.35,0.7483,True,0.6742,4,0.5377,0.5342,True
10279,Office Support,47-2142.00,78.8,16.52,0.9192,True,0.6463,1,0.4981,0.3838,True
10280,Office Support,17-3019.00,70.93,27.71,0.5706,True,0.5107,1,0.7466,0.6118,True
