emp_id,sector,soc_code,job_title,job_category,experience_level,years_of_experience,education_required,city,country,is_remote_eligible,remote_type,is_remote_friendly,company_size,annual_salary_usd,salary_min_usd,salary_max_usd,salary_tier,ai_salary_premium_pct,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,required_skills_count,is_llm_role,demand_score,demand_growth_yoy_pct,hiring_urgency,job_openings,projected_openings_2030,benefits_score_10,posting_year,posting_month,is_senior,gender_diversity_pct,ai_impact_level,theoretical_exposure_pct,augmentation_potential_pct,realized_coverage_idx,task_codifiability_score,skill_transferability_score,org_ai_maturity_stage,education_mismatch_idx,resilience_score,job_zone,median_salary_onet,chance_of_automation_onet,bls_employment_baseline,working_age_pop_baseline,claude_ai_adoption_index,api_adoption_index,task_thinking_fraction,task_validation_fraction,task_learning_fraction,task_directive_fraction,task_iteration_fraction,task_feedback_loop_fraction,job_forecast_onet,is_bright_outlook_onet,is_green_onet,state_gdp_baseline,country_gdp_baseline,overall_risk_category,displacement_occurred
10011,Production,51-8011.00,Nuclear Power Reactor Operators,Product,Lead (10+ yrs),6,Bachelor's,Toronto,Canada,0,On-site,0,Enterprise (5000+),247000,197600,296400,Senior ($200-300k),10.3,1,1,1,0,1,8,1,85,17.3,Low,4,9273,7.3,2025,6,0,49.16,Low,17.2,14.56,0.1203,0.2424,0.6946,3,0.5015,4.49,3,94350,95,1414110,12744382,60.39,68.68,0.2867,0.1899,0.0734,0.1192,0.2682,0.0626,500,0,1,2.79283E+11,1.82877E+12,Low Risk,0
10012,Arts & Design,27-1024.00,Graphic Designers,AI Engineering,Senior (6-9 yrs),9,Bootcamp/Self-taught,Remote,Global,1,Remote,1,Startup (1-50),176000,140800,211200,Upper-Mid ($150-200k),7.8,1,1,0,1,0,6,1,87,28,High,7,5508,6.9,2026,3,1,78.82,Medium,30.72,53.73,0.1559,0.3965,0.7672,2,0.2046,6.38,4,50370,8,254185,10488714,77.34,24.27,0.2299,0.1626,0.1103,0.1678,0.2546,0.0748,30300,0,0,4.23272E+11,2.20669E+13,Medium Risk,0
10013,Healthcare Practitioners,15-1211.01,Health Informatics Specialists,AI Engineering,Senior (6-9 yrs),7,Master's,Remote,Global,0,On-site,0,Mid-size (501-5000),211000,168800,253200,Senior ($200-300k),16,1,1,0,0,1,7,0,95,81.7,High,8,8250,8.2,2025,7,1,38.73,Low,1.06,42.75,0.0074,0,0.7852,1,0,17.94,4,60000,0.0106,803040,25491846,29.06,24.95,0.3955,0.2022,0.076,0.0653,0.1517,0.1092,Average,0,0,88306902311,1.46032E+12,Low Risk,0
10014,Sales,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",AI Engineering,Lead (10+ yrs),7,Master's,Paris,France,1,Remote,1,Enterprise (5000+),270000,216000,324000,Senior ($200-300k),5.8,1,1,0,1,1,8,1,89,25.2,Low,2,5904,8,2026,2,0,27.82,Low,8.73,45.33,0.0505,0.1306,0.5634,1,0.2346,5.62,4,79680,-1,380461,34347273,35.33,43.71,0.4194,0.1671,0.1062,0.0885,0.0773,0.1416,36000,0,1,93511277111,1.35642E+13,Low Risk,1
10015,Technology/Computer,43-9021.00,Data Entry Keyers,AI Engineering,Senior (6-9 yrs),6,Bootcamp/Self-taught,Paris,France,1,Remote,1,Startup (1-50),195000,156000,234000,Upper-Mid ($150-200k),15.5,1,0,0,0,0,2,0,96,74.8,High,8,184,9,2026,3,1,25.58,Low,23.33,99.84,0.1956,0.1066,0.263,3,0.3058,16.51,2,32170,99,395827,33246854,40.13,40.46,0.3003,0.1236,0.0419,0.1496,0.2919,0.0926,14800,0,0,94751875844,1.66783E+13,Low Risk,1
10016,Office Support,13-2052.00,Personal Financial Advisors,ML Operations,Senior (6-9 yrs),9,Bachelor's,Dubai,UAE,1,Remote,1,Big Tech (FAANG+),272000,217600,326400,Senior ($200-300k),12.8,1,1,1,1,0,7,1,93,77,High,4,1776,6.3,2026,3,1,28.34,Critical,86.1,32.33,0.4578,0.9465,0.5603,3,0.2113,16.68,4,88890,58,1694335,38592814,77.79,80.42,0.1785,0.2267,0.0767,0.1574,0.2317,0.129,23200,1,1,4.92326E+11,1.58731E+13,High Risk,0
10017,Office Support,31-1133.00,Psychiatric Aides,AI Engineering,Mid (3-5 yrs),3,PhD,Zurich,Switzerland,1,Remote,1,Enterprise (5000+),153000,122400,183600,Upper-Mid ($150-200k),9.1,0,1,0,0,1,6,1,82,14,Low,3,4492,6.4,2026,3,0,49.83,Critical,87.45,28.21,0.4611,0.9801,0.7397,1,0.0648,3.71,3,60000,0.8745,1152575,14007690,37.4,0,0.2626,0.1358,0.0728,0.1138,0.2747,0.1402,Average,0,0,3.25492E+11,1.33017E+13,High Risk,1
10018,Management,11-3071.04,Supply Chain Managers,AI Engineering,Lead (10+ yrs),10,Bootcamp/Self-taught,Sydney,Australia,0,On-site,0,Mid-size (501-5000),200000,160000,240000,Upper-Mid ($150-200k),10.2,0,0,0,0,0,2,0,97,63.5,Medium,1,785,6.3,2026,3,0,55.09,Low,3.37,70.61,0.0214,0.0932,0.3873,1,0.6545,13.72,4,60000,0.0337,577632,22545370,49.77,14.25,0.2595,0.1276,0.0487,0.1295,0.3129,0.1218,Average,0,0,4.32432E+11,2.36687E+13,Low Risk,0
10019,Office Support,25-2059.01,Adapted Physical Education Specialists,Security,Lead (10+ yrs),10,Master's,Zurich,Switzerland,1,Remote,1,Startup (1-50),233000,186400,279600,Senior ($200-300k),8.7,0,0,1,1,0,6,1,80,15.6,High,9,3078,8.7,2026,1,0,67.53,High,64.11,11.52,0.3501,0.6302,0.4563,2,0.4633,3.99,4,56680,-1,384533,42827540,79.38,37.68,0.3402,0.085,0.1096,0.1008,0.3188,0.0456,3200,1,0,1.98638E+11,1.47578E+13,High Risk,0
10020,Legal,23-2099.00,"Legal Support Workers, All Other",AI Engineering,Entry (0-2 yrs),8,Master's,Los Angeles,USA,1,Remote,1,Enterprise (5000+),179000,143200,214800,Upper-Mid ($150-200k),7.9,0,0,1,1,1,4,1,91,81.6,High,6,7040,8.5,2026,3,0,35.11,Medium,39.7,55.02,0.2801,0.1914,0.5711,1,0,17.11,3,58930,-1,1787230,44703148,48.18,56.71,0.2865,0.1087,0.1379,0.1222,0.1981,0.1466,4400,0,0,2.64559E+11,1.33306E+13,Medium Risk,0
10021,Architecture & Engineering,17-2112.01,Human Factors Engineers and Ergonomists,Research,Lead (10+ yrs),12,PhD,Toronto,Canada,0,On-site,0,SME (51-500),217000,173600,260400,Senior ($200-300k),10.2,1,1,0,0,0,3,0,88,6.2,Medium,2,198,7,2026,3,0,51.3,Low,15.28,76.86,0.1093,0.2291,0.2317,2,0.6995,2.26,5,87040,-1,669567,11921356,37.67,81.56,0.3207,0.1577,0.0557,0.1164,0.235,0.1143,22600,1,0,58806297353,2.41518E+12,Low Risk,0
10022,Office Support,45-2041.00,"Graders and Sorters, Agricultural Products",Robotics,Lead (10+ yrs),5,Bootcamp/Self-taught,Tokyo,Japan,1,Remote,1,Big Tech (FAANG+),247000,197600,296400,Senior ($200-300k),13.9,0,1,1,1,1,7,1,76,8.2,High,7,8642,7.4,2026,3,0,58.19,Medium,58.43,6.47,0.3461,0.4797,0.5199,2,0.3175,3.03,1,24430,41,265847,48718511,52.06,37.67,0.3827,0.1342,0.0705,0.1987,0.1512,0.0627,5800,0,0,2.43838E+11,2.10697E+13,Medium Risk,0
10023,Office Support,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,AI Engineering,Senior (6-9 yrs),4,Bachelor's,Tokyo,Japan,0,On-site,0,Big Tech (FAANG+),221000,176800,265200,Senior ($200-300k),7.7,1,0,0,0,0,5,0,87,22.6,Medium,2,3426,7,2026,1,1,35.12,High,73.77,25.67,0.6007,0.5425,0.42,1,0.2899,5.29,3,47350,73,724889,39279880,47.54,52.18,0.217,0.1905,0.0981,0.1521,0.2239,0.1183,28400,0,1,61958904935,1.06676E+13,High Risk,1
10024,Office Support,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",AI Engineering,Lead (10+ yrs),6,Master's,Los Angeles,USA,1,Remote,1,Startup (1-50),298000,238400,357600,Senior ($200-300k),6.5,0,1,1,1,0,7,1,89,7.5,High,1,7652,9.7,2026,2,0,23.92,High,69.2,8.56,0.4129,0.591,0.5901,2,0.0869,2.15,3,24730,11,390556,12522173,47.03,52.9,0.2491,0.2183,0.0455,0.1712,0.196,0.1198,94600,1,0,71677039785,9.09396E+12,High Risk,1
10025,Office Support,29-9092.00,Genetic Counselors,Robotics,Lead (10+ yrs),4,Master's,Beijing,China,1,Remote,1,Startup (1-50),125000,100000,150000,Mid ($100-150k),15.6,0,0,0,0,1,4,0,76,20.7,Low,3,7617,6.6,2026,1,0,71.19,High,65.68,29.44,0.3365,0.5301,0.5341,3,0.417,5.7,5,80370,-1,1070301,46797299,50.62,80.29,0.2346,0.1986,0.1009,0.225,0.1692,0.0717,300,1,0,3.01771E+11,9.29133E+12,High Risk,1
10026,Healthcare Practitioners,29-1125.00,Recreational Therapists,Research,Lead (10+ yrs),11,Bootcamp/Self-taught,Sydney,Australia,0,On-site,0,Startup (1-50),163000,130400,195600,Upper-Mid ($150-200k),17.9,0,1,0,1,1,6,1,88,17,High,7,7497,8.6,2025,10,0,39.45,Low,3.63,24.51,0.0232,0,0.6327,4,0.1745,5.19,4,47860,0.3,240439,39628581,75.79,29.35,0.2181,0.2519,0.1822,0.1433,0.1539,0.0507,1100,1,0,2.78367E+11,1.51146E+12,Low Risk,0
10027,Office Support,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Robotics,Lead (10+ yrs),10,Master's,Beijing,China,1,Remote,1,SME (51-500),125000,100000,150000,Mid ($100-150k),17.1,0,0,0,1,0,5,1,76,19.8,High,9,992,8.5,2025,7,0,61.67,High,64.88,36.55,0.5655,0.6311,0.6025,2,0.3456,5.67,3,46960,57,1803602,15717800,65.58,76.98,0.4354,0.0944,0.1252,0.0477,0.2056,0.0916,8400,0,0,89531136871,2.37476E+13,High Risk,0
10028,Healthcare Practitioners,29-1161.00,Nurse Midwives,Governance,Mid (3-5 yrs),8,PhD,Sydney,Australia,0,On-site,0,Enterprise (5000+),140000,112000,168000,Mid ($100-150k),13.4,0,0,0,1,1,6,1,68,25.5,High,9,1957,9.6,2025,10,0,67.22,Low,5.23,45.27,0.0355,0.1356,0.4196,1,0.4925,6.44,5,103770,-1,856152,21475769,45.77,39.86,0.2692,0.1494,0.0811,0.1955,0.1909,0.1139,500,1,0,1.31669E+11,8.59703E+12,Low Risk,0
10029,Business & Financial,13-1161.00,Market Research Analysts and Marketing Specialists,Infrastructure,Senior (6-9 yrs),9,PhD,Bangalore,India,1,Remote,1,Startup (1-50),140000,112000,168000,Mid ($100-150k),10.5,0,0,0,1,0,2,1,85,17.9,Low,1,6282,8.6,2026,1,1,52.92,Medium,38.34,53.12,0.2655,0.3452,0.5879,5,0.375,4.63,4,63120,61,996731,46219768,63.83,29.14,0.3836,0.0658,0.1114,0.1657,0.195,0.0784,90700,1,0,2.20269E+11,1.50414E+13,Medium Risk,1
10030,Technology/Computer,43-5041.00,"Meter Readers, Utilities",AI Engineering,Senior (6-9 yrs),7,Bachelor's,Amsterdam,Netherlands,1,Remote,1,Startup (1-50),161000,128800,193200,Upper-Mid ($150-200k),15.5,0,0,1,0,1,6,1,95,37.8,Medium,2,1287,8.8,2026,2,1,64.69,Low,13.6,78.39,0.1219,0.1641,0.5486,1,0.1232,9.11,2,40360,85,636756,45274335,72.96,79.33,0.2761,0.1249,0.1216,0.1942,0.1683,0.1149,2800,0,0,4.2712E+11,7.86635E+12,Low Risk,0
10031,Office Support,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other",Data Engineering,Mid (3-5 yrs),8,PhD,Singapore,Singapore,0,On-site,0,Big Tech (FAANG+),233000,186400,279600,Senior ($200-300k),9.2,1,0,1,1,0,4,1,88,20.4,High,1,3768,6.2,2026,2,0,21.69,High,74.31,33.55,0.604,0.6538,0.7493,2,0.3446,5,3,27750,-1,63999,42204293,59.24,13.75,0.5352,0.1031,0.0609,0.1098,0.0994,0.0916,2000,0,0,3.3605E+11,1.53272E+13,High Risk,0
10032,Production,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",Product,Lead (10+ yrs),10,Bootcamp/Self-taught,London,UK,0,On-site,0,SME (51-500),191000,152800,229200,Upper-Mid ($150-200k),15.2,1,0,1,0,1,6,1,85,26.7,High,9,4337,8.5,2025,4,0,62.5,Low,21.63,31.88,0.1668,0.4453,0.6335,3,0.4031,6.86,2,29500,86,1797794,4739288,51.62,69.79,0.3762,0.155,0.0976,0.19,0.1345,0.0467,6200,0,0,77688802519,1.96483E+13,Low Risk,0
10033,Office Support,49-9044.00,Millwrights,AI Engineering,Senior (6-9 yrs),3,Associate's,Los Angeles,USA,1,Remote,1,Big Tech (FAANG+),327000,261600,392400,Elite (>$300k),8.2,1,0,0,1,0,5,1,87,24,Low,1,7358,7.7,2025,9,1,56.22,High,64.18,11.58,0.5685,0.5765,0.5977,5,0.2983,5.62,2,55060,59,170848,45223346,38.82,3.6,0.3001,0.1651,0.1205,0.1161,0.175,0.1232,4400,1,1,1.20635E+11,1.21764E+13,High Risk,1
10034,Office Support,29-1128.00,Exercise Physiologists,AI Engineering,Entry (0-2 yrs),5,Bachelor's,Singapore,Singapore,0,On-site,0,SME (51-500),145000,116000,174000,Mid ($100-150k),6.3,1,1,0,1,0,7,1,87,16.4,High,8,1554,9.8,2025,12,0,54.07,High,84.07,23.29,0.6415,0.706,0.8618,2,0.3533,3.91,5,49270,-1,853815,40889112,55.1,62.03,0.4388,0.0994,0.1199,0.1417,0.1182,0.0819,1100,1,0,49042676300,2.41594E+13,High Risk,0
10035,Production,53-4041.00,Subway and Streetcar Operators,Data Engineering,Senior (6-9 yrs),5,Associate's,Chicago,USA,1,Remote,1,Big Tech (FAANG+),213000,170400,255600,Senior ($200-300k),9,1,1,0,0,1,6,0,88,26.5,Medium,5,2500,7.5,2025,8,1,69.08,Low,15.94,31.41,0.132,0.4242,0.4183,1,0.1679,6.2,2,68170,86,365520,32896598,44.02,70.32,0.3794,0.1834,0.0655,0.0686,0.1861,0.1169,1000,0,0,2.98565E+11,1.43767E+13,Low Risk,0
10036,Office Support,15-1299.03,Document Management Specialists,AI Engineering,Senior (6-9 yrs),6,Associate's,New York,USA,1,Remote,1,Mid-size (501-5000),224000,179200,268800,Senior ($200-300k),9,0,1,0,1,0,6,1,95,30.7,Low,6,4500,6.8,2026,2,1,77.61,High,81.88,14.61,0.5393,0.8221,0.2366,2,0.3645,7.04,2,60000,0.8188,1806326,46633837,37.31,24.59,0.4449,0.0569,0.0895,0.1283,0.1758,0.1046,Average,0,0,1.92662E+11,2.40203E+13,High Risk,1
10037,Office Support,19-3033.00,Clinical and Counseling Psychologists,Data Science,Senior (6-9 yrs),5,Bootcamp/Self-taught,Austin,USA,1,Remote,1,Startup (1-50),148000,118400,177600,Mid ($100-150k),6.6,0,0,0,1,1,5,1,92,72.2,High,7,4965,7.7,2025,10,1,71.13,High,61.04,40.48,0.4345,0.4439,0.1853,1,0,15.1,1,60000,0.6104,1245650,47364307,62.06,34.29,0.2839,0.1855,0.0487,0.1602,0.2547,0.0669,Average,0,0,3.82026E+11,1.13174E+13,High Risk,1
10038,Production,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Product,Lead (10+ yrs),8,Bachelor's,Berlin,Germany,0,On-site,0,Big Tech (FAANG+),299000,239200,358800,Senior ($200-300k),11.1,1,1,0,1,0,5,1,85,19.8,Low,5,5831,6.3,2026,3,0,75.91,Low,23.65,28.97,0.182,0.3718,0.5915,3,0.0766,5.07,1,60000,0.2365,855394,49993560,41.7,12.35,0.2027,0.184,0.1366,0.2157,0.1982,0.0627,Average,0,0,4.52597E+11,2.49329E+13,Low Risk,0
10039,Office Support,45-2041.00,"Graders and Sorters, Agricultural Products",AI Engineering,Lead (10+ yrs),3,Master's,Sydney,Australia,0,On-site,0,Startup (1-50),248000,198400,297600,Senior ($200-300k),7.2,1,1,0,0,0,5,1,98,54.2,Low,3,4371,9.6,2025,12,0,63.93,High,82.95,37.08,0.522,0.7644,0.3627,2,0.268,11.56,1,24430,41,1224441,3687760,64.57,49.15,0.2948,0.3514,0.0671,0.0878,0.1327,0.0662,5800,0,0,38562478953,1.40786E+13,High Risk,1
10040,Food Service,35-3041.00,"Food Servers, Nonrestaurant",Infrastructure,Entry (0-2 yrs),6,Associate's,Singapore,Singapore,0,On-site,0,Startup (1-50),140000,112000,168000,Mid ($100-150k),17.8,1,0,0,0,1,3,0,85,7.7,Medium,6,3600,7.1,2025,7,0,43.49,Low,21.39,0.62,0.1348,0.2503,0.163,1,0.3306,3.32,1,23290,86,371757,47282055,20.85,21.06,0.3379,0.1329,0.1086,0.0639,0.2869,0.0697,46500,1,0,1.42054E+11,1.84841E+13,Low Risk,0
10041,Office Support,19-3099.01,Transportation Planners,AI Engineering,Entry (0-2 yrs),5,Bachelor's,Singapore,Singapore,1,Remote,1,SME (51-500),145000,116000,174000,Mid ($100-150k),6.3,1,1,1,1,1,9,1,87,16.4,High,8,9466,9.8,2025,12,0,77.03,High,66.83,39.28,0.3978,0.8202,0.4447,2,0.0166,3.91,4,81340,-1,1792568,22638422,40.61,37.01,0.3986,0.1581,0.0339,0.1255,0.1931,0.0909,4800,0,1,1.08923E+11,8.88696E+12,High Risk,1
10042,Office Support,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,AI Engineering,Senior (6-9 yrs),8,Bachelor's,Remote,Global,1,Remote,1,SME (51-500),252000,201600,302400,Senior ($200-300k),15,1,1,0,0,0,3,1,95,72.8,High,7,6346,8.7,2026,2,1,23.45,High,78.5,11.69,0.6563,0.7709,0.697,3,0.4176,16.06,4,33220,10,531906,5594836,41.91,41.73,0.2173,0.1999,0.0586,0.2583,0.1685,0.0974,4000,0,0,4.48593E+11,8.90663E+12,High Risk,0
10043,Architecture & Engineering,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Data Science,Mid (3-5 yrs),9,Bachelor's,Zurich,Switzerland,0,On-site,0,SME (51-500),157000,125600,188400,Upper-Mid ($150-200k),6.4,0,1,1,0,1,6,1,90,17,Medium,4,4856,6.8,2025,7,0,60.74,Low,0,66.6,0,0.1439,0.416,2,0.4016,4.04,4,92250,14,934028,35467296,32.79,40.4,0.3361,0.1555,0.1815,0.1391,0.0538,0.134,500,0,0,2.48741E+11,1.04331E+13,Low Risk,0
10044,Office Support,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",AI Engineering,Entry (0-2 yrs),2,Bootcamp/Self-taught,Los Angeles,USA,1,Remote,1,SME (51-500),145000,116000,174000,Mid ($100-150k),4.2,1,1,1,0,0,6,1,94,21.8,High,8,661,7.1,2025,6,0,73.61,High,65.37,37.2,0.4209,0.6615,0.5356,2,0.1848,4.78,1,26950,94,496092,29331225,63.19,58.6,0.2622,0.3246,0.0886,0.0906,0.1272,0.1067,20800,0,0,3.30756E+11,1.24091E+13,High Risk,1
10045,Protective Service,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,Data Science,Entry (0-2 yrs),3,PhD,Toronto,Canada,0,On-site,0,Mid-size (501-5000),138000,110400,165600,Mid ($100-150k),9.4,0,0,0,0,1,3,0,92,21.2,Low,1,3630,6.1,2026,1,0,27.83,Low,0,27.98,0,0,0.6884,2,0.3923,5.18,3,76330,0.4,952921,27486765,43.17,57.77,0.2181,0.2178,0.1331,0.1854,0.1915,0.0542,4800,0,0,34845849617,1.99037E+13,Low Risk,0
10046,Office Support,53-7199.00,"Material Moving Workers, All Other",ML Operations,Senior (6-9 yrs),7,Master's,London,UK,1,Remote,1,Big Tech (FAANG+),271000,216800,325200,Senior ($200-300k),8.5,0,0,0,1,0,3,1,93,19,Medium,3,5536,9.2,2026,2,1,73.86,High,66.94,26.53,0.5693,0.5747,0.3989,3,0.4541,4.65,3,29410,-1,1721478,16264553,57.56,56.78,0.2911,0.1928,0.0917,0.1578,0.2142,0.0525,3700,0,0,4.08037E+11,2.16216E+13,High Risk,0
10047,Architecture & Engineering,17-2021.00,Agricultural Engineers,Product,Lead (10+ yrs),4,Bootcamp/Self-taught,Remote,Global,0,On-site,0,Big Tech (FAANG+),312000,249600,374400,Elite (>$300k),11.6,0,0,0,0,1,5,0,85,25.3,Medium,5,8189,7.5,2025,3,0,57.18,Low,9.93,65.59,0.0625,0.0132,0.4657,1,0.2519,6.22,4,77110,49,1489603,9952569,55.1,59.17,0.1418,0.1804,0.1427,0.1887,0.2287,0.1177,200,0,0,4.52147E+11,1.87663E+13,Low Risk,0
10048,Office Support,49-9064.00,Watch and Clock Repairers,AI Engineering,Entry (0-2 yrs),6,Associate's,San Francisco,USA,1,Remote,1,Startup (1-50),141000,112800,169200,Mid ($100-150k),5.6,1,1,1,0,1,6,1,89,11.9,High,7,4711,8.6,2026,2,0,60.43,Critical,86.31,24.14,0.5664,0.9832,0.4823,3,0.0485,2.94,3,39910,99,1983812,30175090,44.33,36.51,0.352,0.1573,0.0687,0.2099,0.1608,0.0513,200,0,0,4.34549E+11,6.85962E+12,High Risk,1
